1 	4 	2766092	24049235 	221124 	1164 	1841	828148
1 	1 	2057844	6438440 	80042 	1336 	23100	314807
1 	0 	1054211	2349568 	37944 	1232 	8352	160693
1 	3 	804990	1162527 	21947 	248 	0	120594
1 	3 	984643	981128 	26488 	454 	3961	125155
1 	4 	2170369	22650231 	106225 	1894 	1120	378491
1 	1 	983108	1006451 	24954 	809 	9709	140890
0 	2 	851187	280297 	6988 	393 	3073	53277
1 	1 	1386354	1511067 	51537 	692 	500	184303
1 	3 	2392811	2774929 	82310 	799 	0	259776
1 	3 	3547640	3681892 	85210 	1292 	23100	367052
1 	4 	1236939	1659199 	29170 	438 	0	110091
1 	4 	1298357	2702459 	40504 	1183 	0	143523
1 	0 	2919940	11989642 	62957 	1257 	19027	188940
0 	1 	938913	473296 	9212 	881 	0	31975
1 	4 	1800579	6760219 	109336 	1018 	3961	372493
1 	3 	3226037	45480357 	220069 	1500 	18243	630198
0 	0 	2170203	12888503 	65122 	569 	1554	389982
0 	1 	964971	465725 	11233 	659 	0	54415
0 	4 	1982078	2579545 	49878 	994 	0	254984
1 	4 	2818035	3536786 	67648 	1139 	7029	358656
0 	0 	2077540	1789701 	45325 	733 	19027	209168
1 	1 	2217481	2359696 	53062 	1483 	1841	333974
1 	1 	1069762	694152 	17620 	943 	5248	50148
1 	4 	2904798	4276024 	80668 	1485 	3961	325990
1 	4 	1347590	902664 	22980 	1150 	0	47796
1 	1 	1376467	1463977 	28182 	540 	0	156572
1 	4 	2324781	2720153 	64070 	1076 	3961	197721
0 	0 	1342139	3210834 	26131 	1446 	0	130324
1 	3 	1918401	2827844 	71125 	1175 	22766	196223
0 	0 	2332567	1930802 	43553 	892 	2573	197194
1 	0 	1578810	3152849 	259775 	614 	23100	217734
1 	3 	1071123	1845915 	30783 	384 	0	146176
1 	4 	1298561	1742874 	79831 	741 	0	413654
1 	1 	2684529	3896681 	81313 	692 	23100	315650
